antecedents,consequents,support,confidence,lift
"age=50-60, slope=flat",exang=True,0.1033,0.625,1.7062
"cp=atypical angina, exang=False",dp=mild,0.1413,0.8609,1.7033
"cp=asymptomatic, exang=True, hr=medium",slope=flat,0.1152,0.6386,1.7028
"ca=0.0, fbs=False","exang=False, no_disease",0.1087,0.6211,1.7007
"cp=asymptomatic, exang=True",slope=flat,0.1913,0.6377,1.7005
ca=0.0,"fbs=False, no_disease",0.1283,0.6519,1.6991
"exang=True, hr=medium","cp=asymptomatic, sex=Male",0.1641,0.7865,1.6985
"disease, exang=True","cp=asymptomatic, sex=Male",0.1239,0.7862,1.6979
"dp=mild, fbs=False, thal=normal",hr=high,0.1033,0.819,1.697
"cp=atypical angina, dp=mild, hr=high",exang=False,0.1109,0.9714,1.6926
thal=normal,"fbs=False, hr=high",0.1391,0.6531,1.6924
"no_disease, sex=Female","dp=mild, exang=False",0.1076,0.6875,1.6912
"hr=high, slope=upsloping","exang=False, no_disease",0.1,0.6174,1.6906
"fbs=False, hr=medium, sex=Male",exang=True,0.1413,0.619,1.69
"exang=True, fbs=False, sex=Male",slope=flat,0.1522,0.6335,1.6893
"age=50-60, exang=True",slope=flat,0.1033,0.6333,1.6889
"bp=prehyper, dp=mild, fbs=False",no_disease,0.1533,0.754,1.6878
"disease, hr=medium","cp=asymptomatic, sex=Male",0.1087,0.7812,1.6872
"cp=non-anginal, exang=False",no_disease,0.1196,0.7534,1.6865
"fbs=False, no_disease","dp=mild, exang=False",0.263,0.6856,1.6864
"dp=mild, exang=False","fbs=False, no_disease",0.263,0.6471,1.6864
"age=40-50, exang=False, fbs=False",dp=mild,0.1185,0.8516,1.6848
"bp=prehyper, hr=high","exang=False, no_disease",0.137,0.6146,1.6829
"exang=False, thal=normal",hr=high,0.1359,0.8117,1.6819
"disease, exang=True, slope=flat",cp=asymptomatic,0.1022,0.9038,1.6765
"cp=atypical angina, fbs=False, hr=high",dp=mild,0.1022,0.8468,1.6755
"dp=mild, no_disease","fbs=False, hr=high",0.2087,0.6465,1.6753
"cp=atypical angina, no_disease",dp=mild,0.138,0.8467,1.6751
"dp=mild, hr=high",no_disease,0.2326,0.7483,1.6749
"exang=True, hr=medium","cp=asymptomatic, fbs=False",0.1337,0.6406,1.6744
cp=atypical angina,"dp=mild, fbs=False",0.1304,0.6897,1.6741
"cp=asymptomatic, sex=Male, unknown",exang=True,0.1185,0.6124,1.6717
"dp=severe, exang=True, sex=Male",cp=asymptomatic,0.1076,0.9,1.6694
